BARANG,NAMA_BARANG_RAPIH,KATEGORI,MEREK,SPESIFIKASI,PART_NO,COA
FLYWHEEL COVER P/N:6170.2-37 ZIBO ZICHAI Z6170 ZLCZ-19,LAIN-LAIN FLYWHEEL COVER P N ZIBO ZICHAI Z6170 ZLCZ 19 (P/N: 6170.2-37),LAIN-LAIN,,,6170.2-37,PERLENGKAPAN KAPAL - MESIN
FLYWHEEL GEAR RING P/N:Z6170.7-3 ZIBO ZICHAI Z6170 ZLCZ-19,LAIN-LAIN FLYWHEEL R RING P N ZIBO ZICHAI Z6170 ZLCZ 19 GEA (P/N: Z6170.7-3),LAIN-LAIN,GEA,,Z6170.7-3,PERLENGKAPAN KAPAL - MESIN
"FN10A-PG (YYR10-4A-FG) FAN ASYNCHRONISM MOTOR FOR ROOM AIR CONDITION,ZHUHAI KAIBANG MOTOR MANUFACTURING CO.,LTD.",ELECTRICAL YYR10 4A FG FAN ASYNCHRONISM MOTOR FOR ROOM AIR CONDITION ZHUHAI KAIBANG MOTOR UFACTURING CO LTD MAN (P/N: FN10A-PG),ELECTRICAL,MAN,,FN10A-PG,PERLENGKAPAN KAPAL - MESIN
FO BOOSTER PUMP ME,PUMP FO BOOSTER PUMP ME,PUMP,,,,PERLENGKAPAN KAPAL - MESIN
FO HIGH PRESSURE PIPE ASSY LR P/N:345A-H MITSUI MAN B&W 6S60MC,PIPE FITTING FO HIGH PRESSURE PIPE ASSY LR P N MITSUI 6S60MC MAN B&W (P/N: 345A-H),PIPE FITTING,MAN B&W,,345A-H,PERLENGKAPAN KAPAL - MESIN
FO HIGH PRESSURE PIPE ASSY LR P/N:345A-I MITSUI MAN B&W 6S60MC,PIPE FITTING FO HIGH PRESSURE PIPE ASSY LR P N MITSUI 6S60MC MAN B&W (P/N: 345A-I),PIPE FITTING,MAN B&W,,345A-I,PERLENGKAPAN KAPAL - MESIN
FO PIPE P/N:132654-59111 YANMAR 8N330EW,PIPE FITTING FO PIPE P N 8N330EW YANMAR (P/N: 132654-59111),PIPE FITTING,YANMAR,,132654-59111,PERLENGKAPAN KAPAL - MESIN
FO PIPE P/N:132654-59150 YANMAR 8N330-EW,PIPE FITTING FO PIPE P N 8N330 EW YANMAR (P/N: 132654-59150),PIPE FITTING,YANMAR,,132654-59150,PERLENGKAPAN KAPAL - MESIN
FOAM AB 9 LTR (RECONDITION),LAIN-LAIN FOAM AB 9 LTR RECONDITION 9 LTR,LAIN-LAIN,,9 LTR,,PERLENGKAPAN KAPAL - DECK
FOAM APPLICATOR AFFF REFILL,CHEMICAL FOAM APPLIOR AFFF REF CAT (P/N: ILL),CHEMICAL,CAT,,ILL,PERLENGKAPAN KAPAL - DECK
FOAM APPLICATOR CAP 20 LTR,CHEMICAL FOAM APPLIOR CAP 20 LTR 20 LTR CAT,CHEMICAL,CAT,20 LTR,,PERLENGKAPAN KAPAL - DECK
"FOG NOZZLES 3 POSITION BRASS NAKAJIMA 2-1/2""","ENGINE PART FOG NOZZLES 3 POSITION BRASS NAKAJIMA 2 1 2 2""",ENGINE PART,,"2""",,PERLENGKAPAN KAPAL - DECK
FOOD RATION,LAIN-LAIN FOOD RATION,LAIN-LAIN,,,,BIAYA CONSUMABLES KAPAL
"FOOD RATION ""SEGARA""",LAIN-LAIN FOOD RATION SEGARA,LAIN-LAIN,,,,BIAYA CONSUMABLES KAPAL
FOOD WASTE DISPOSER TEKA TR550,LAIN-LAIN FOOD WASTE DISPOSER TEKA TR550,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
"FOOT KLEP 2 ""","LAIN-LAIN FOOT KLEP 2 2 """,LAIN-LAIN,,"2 """,,PERLENGKAPAN KAPAL - MESIN
"FOOT VALVE 1""","VALVE FOOT VALVE 1 1""",VALVE,,"1""",,PERLENGKAPAN KAPAL - MESIN
FOOT VALVE 10K DN 100 NRV (DISC MATERIAL STAINLESS),VALVE FOOT VALVE 10K DN 100 NRV DISC MATERIAL STAINLESS 10K,VALVE,,10K,,PERLENGKAPAN KAPAL - MESIN
"FOOT VALVE Ø 2""","VALVE FOOT VALVE Ø 2 2""",VALVE,,"2""",,PERLENGKAPAN KAPAL - MESIN
"FOOT VALVE Ø 4""","VALVE FOOT VALVE Ø 4 4""",VALVE,,"4""",,PERLENGKAPAN KAPAL - MESIN
"FOOT VALVE Ø3""",VALVE FOOT VALVE Ø3,VALVE,,,,PERLENGKAPAN KAPAL - MESIN
FORCEPS HANDLE,LAIN-LAIN FORCEPS HANDLE,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
FORE GEAR P/N:G-07-004A ANTAI WUXI G8300 ZC 18BH,LAIN-LAIN FORE R P N ANTAI WUXI G8300 ZC 18BH GEA (P/N: G-07-004A),LAIN-LAIN,GEA,,G-07-004A,PERLENGKAPAN KAPAL - MESIN
FORM A GASKET SEALANT ITEM # 80011 / 2 C PERMATEX,SEAL FORM A GASKET SEALANT ITEM 80011 2 C PERMATEX,SEAL,,,,PERLENGKAPAN KAPAL - DECK
FORT PROTECTION COVER FOR EMERGENCY PUSH BUTTON 22MM,LAIN-LAIN FORT PROTECTION COVER FOR EMERGENCY PUSH BUTTON 22MM 22MM,LAIN-LAIN,,22MM,,PERLENGKAPAN KAPAL - MESIN
FORT TOWER LIGHT LED WITH BUZZER 3 STAGE,ELECTRICAL FORT TOWER LIGHT LED WITH BUZZER 3 STAGE,ELECTRICAL,,,,PERLENGKAPAN KAPAL - MESIN
FOSTED LAMP 40W 110V BY,ELECTRICAL FOSTED LAMP 40W 110V BY,ELECTRICAL,,,,PERLENGKAPAN KAPAL - MESIN
FOTO COPY BUKU (HIJAU) ORDER KKM,STATIONERY FOTO COPY BUKU HIJAU ORDER KKM,STATIONERY,,,,PERLENGKAPAN KAPAL - DECK
FOTO COPY BUKU (HIJAU) ORDER MUALIM 1,STATIONERY FOTO COPY BUKU HIJAU ORDER MUALIM 1,STATIONERY,,,,PERLENGKAPAN KAPAL - DECK
FOTO COPY BUKU (HIJAU) TAMU,STATIONERY FOTO COPY BUKU HIJAU TAMU,STATIONERY,,,,PERLENGKAPAN KAPAL - DECK
"FP-6V8608, PACKING SEAT,CATERPILLAR 3406",SEAL PACKING SEAT 3406 CATERPILLAR (P/N: FP-6V8608),SEAL,CATERPILLAR,,FP-6V8608,PERLENGKAPAN KAPAL - MESIN
"FP-6V9222, PACKING SEAT,CATERPILLAR 3406",SEAL PACKING SEAT 3406 CATERPILLAR (P/N: FP-6V9222),SEAL,CATERPILLAR,,FP-6V9222,PERLENGKAPAN KAPAL - MESIN
"FP-6V9722 PACKING SEAT,CATERPILLAR 3406",SEAL PACKING SEAT 3406 CATERPILLAR (P/N: FP-6V9722),SEAL,CATERPILLAR,,FP-6V9722,PERLENGKAPAN KAPAL - MESIN
FRACTION DISC P/N:27530003 LO PURIFIER KYDR203CD-23,FILTER FRACTION DISC P N LO PURIFIER KYDR203CD 23 (P/N: 27530003),FILTER,,,27530003,PERLENGKAPAN KAPAL - MESIN
FRAME KIPAS PUTIH,LAIN-LAIN FRAME KIPAS PUTIH,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - DECK
FRAME KIPAS PUTIH RRT Y2-160-2,LAIN-LAIN FRAME KIPAS PUTIH RRT Y2 160 2,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
FRAME WATER LEVEL SIGH GLASS 210X65X8MM,LAIN-LAIN FRAME WATER LEVEL SIGH GLASS 210X65X8MM,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
FRAME WATER LEVEL SIGH GLASS 300X65X8MM,LAIN-LAIN FRAME WATER LEVEL SIGH GLASS 300X65X8MM,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
FREEZER (REP).,LAIN-LAIN FREEZER REP,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - DECK
FREEZER 200 LITER (220 VOLT),LAIN-LAIN FREEZER 200 LITER 220 VOLT 220 VOLT,LAIN-LAIN,,220 VOLT,,INVENTARIS KAPAL
FREEZER BOX 200 LTR(220 V),LAIN-LAIN FREEZER BOX 200 LTR 220 V 200 LTR,LAIN-LAIN,,200 LTR,,INVENTARIS KAPAL
FREON 134,LAIN-LAIN FREON 134,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
"FREON 134(13,5 KG)","LAIN-LAIN FREON 134 13 5 KG 13,5 KG",LAIN-LAIN,,"13,5 KG",,PERLENGKAPAN KAPAL - MESIN
"FREON 134(13,5 KG) REFEGRANT","LAIN-LAIN FREON 134 13 5 KG REF 13,5 KG (P/N: EGRANT)",LAIN-LAIN,,"13,5 KG",EGRANT,PERLENGKAPAN KAPAL - MESIN
FREON 410(25 LBS) REFREGRAN,LAIN-LAIN FREON 410 25 LBS REF (P/N: REGRAN),LAIN-LAIN,,,REGRAN,PERLENGKAPAN KAPAL - MESIN
FREON R 11,LAIN-LAIN FREON R 11,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
FREON R 134 A,LAIN-LAIN FREON R 134 A,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
FREON R 134 A REFRIGERANT,LAIN-LAIN FREON R 134 A REF (P/N: RIGERANT),LAIN-LAIN,,,RIGERANT,PERLENGKAPAN KAPAL - MESIN
FREON R 22,LAIN-LAIN FREON R 22,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
"FREON R 22 (13,6 KG) REFEGRANT","LAIN-LAIN FREON R 22 13 6 KG REF 13,6 KG (P/N: EGRANT)",LAIN-LAIN,,"13,6 KG",EGRANT,PERLENGKAPAN KAPAL - MESIN
FREON R 22 (3KG),LAIN-LAIN FREON R 22 3KG 3KG,LAIN-LAIN,,3KG,,PERLENGKAPAN KAPAL - MESIN
"FREON R 22(13,5 KG)","LAIN-LAIN FREON R 22 13 5 KG 13,5 KG",LAIN-LAIN,,"13,5 KG",,PERLENGKAPAN KAPAL - MESIN
FREON R 32 (10 KG),LAIN-LAIN FREON R 32 10 KG 10 KG,LAIN-LAIN,,10 KG,,PERLENGKAPAN KAPAL - MESIN
FREON R 404 A,LAIN-LAIN FREON R 404 A,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
FREON R 404 A REFREGRAN,LAIN-LAIN FREON R 404 A REF (P/N: REGRAN),LAIN-LAIN,,,REGRAN,PERLENGKAPAN KAPAL - MESIN
FREON R 404 A REFREGRANT,LAIN-LAIN FREON R 404 A REF (P/N: REGRANT),LAIN-LAIN,,,REGRANT,PERLENGKAPAN KAPAL - MESIN
"FREON R 404 A(13,5 KG)","LAIN-LAIN FREON R 404 A 13 5 KG 13,5 KG",LAIN-LAIN,,"13,5 KG",,PERLENGKAPAN KAPAL - MESIN
FREON R 404 CAN,LAIN-LAIN FREON R 404 CAN,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
FREON R 407,LAIN-LAIN FREON R 407,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
FREON R 410 (13KG) DUPPON,LAIN-LAIN FREON R 410 13KG DUPPON 13KG,LAIN-LAIN,,13KG,,PERLENGKAPAN KAPAL - DECK
FREON R 410 A REFRIGERANT,LAIN-LAIN FREON R 410 A REF (P/N: RIGERANT),LAIN-LAIN,,,RIGERANT,PERLENGKAPAN KAPAL - MESIN
FREQUENCY METER RANGE = 45 - 55 HZ 400V TYPE= F-96,LAIN-LAIN FREQUENCY METER RANGE 45 55 HZ 400V TYPE F 96,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
FRESH WATER COOLER CH900 P/N:A762ZA-35-000A DONGFENG G128Z CAF1,LAIN-LAIN FRESH WATER COOLER CH900 P N G128Z CAF1 DONGFENG (P/N: A762ZA-35-000A),LAIN-LAIN,DONGFENG,,A762ZA-35-000A,PERLENGKAPAN KAPAL - MESIN
FRESH WATER COOLER P/N Z6170.29B.1 ZIBO ZICHAI Z6170,LAIN-LAIN FRESH WATER COOLER P N ZIBO ZICHAI Z6170 (P/N: Z6170.29B.1),LAIN-LAIN,,,Z6170.29B.1,PERLENGKAPAN KAPAL - MESIN
FRESH WATER COOLER P/N:Z6170.29B.1  ZIBO ZICHAI Z6170 ZLD-19,LAIN-LAIN FRESH WATER COOLER P N ZIBO ZICHAI Z6170 ZLD 19 (P/N: Z6170.29B.1),LAIN-LAIN,,,Z6170.29B.1,PERLENGKAPAN KAPAL - MESIN
"FRESH WATER COOLER Z6150-26-000A, NANTONG ZICHAI Z6150",LAIN-LAIN FRESH WATER COOLER Z6150 26 000A NANTONG ZICHAI Z6150,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
FRESH WATER PUMP (REP),PUMP FRESH WATER PUMP REP,PUMP,,,,PERLENGKAPAN KAPAL - MESIN
FRESH WATER PUMP AE CUMMINS NTA855-D(M) SO NO.13019,PUMP FRESH WATER PUMP AE NTA855 D M SO NO CUMMINS (P/N: 13019),PUMP,CUMMINS,,13019,PERLENGKAPAN KAPAL - MESIN
FRESH WATER PUMP ASSY NANTONG ZICHAI 6135 AZCA,PUMP FRESH WATER PUMP ASSY NANTONG ZICHAI 6135 AZCA,PUMP,,,,PERLENGKAPAN KAPAL - MESIN
FRESH WATER PUMP ASSY P/N:771-20-000A AE NANTONG 6135 AZG,PUMP FRESH WATER PUMP ASSY P N AE NANTONG 6135 AZG (P/N: 771-20-000A),PUMP,,,771-20-000A,PERLENGKAPAN KAPAL - MESIN
FRESH WATER PUMP P/N:LG-58-000 ANTAI WUXI G8300 ZC16BH,PUMP FRESH WATER PUMP P N 58 000 ANTAI WUXI G8300 ZC16BH LG (P/N: LG-58-000),PUMP,LG,,LG-58-000,PERLENGKAPAN KAPAL - MESIN
FRESH WATER PUMP P/N:LG-58-000A ME ANTAI WUXI G8300 ZC18BH,PUMP FRESH WATER PUMP P N 58 000A ME ANTAI WUXI G8300 ZC18BH LG (P/N: LG-58-000A),PUMP,LG,,LG-58-000A,PERLENGKAPAN KAPAL - MESIN
FRESH WATER PUMP P/N:Z6150-25-500A NANTONG ZICHAI Z-6150,PUMP FRESH WATER PUMP P N NANTONG ZICHAI Z 6150 (P/N: Z6150-25-500A),PUMP,,,Z6150-25-500A,PERLENGKAPAN KAPAL - MESIN
FRESH WATER PUMP YANMAR 4TN 100 LGD,PUMP FRESH WATER PUMP 4TN 100 LGD YANMAR,PUMP,YANMAR,,,PERLENGKAPAN KAPAL - MESIN
FRICTIION BLOCKP/N : 305 PURIFIER KYDR 204,FILTER FRICTIION BLOCKP N PURIFIER KYDR 204 (P/N: 305),FILTER,,,305,PERLENGKAPAN KAPAL - MESIN
FRICTION BLOCK 60HZ P/N:385078105 PURIFIER MITSUBISHI SJ 30FH,FILTER FRICTION BLOCK 60HZ P N PURIFIER SJ 30FH MITSUBISHI (P/N: 385078105),FILTER,MITSUBISHI,,385078105,PERLENGKAPAN KAPAL - MESIN
FRICTION BLOCK 60HZ P/N:385078105 PURIFIER MITSUBISHI SJ15F,FILTER FRICTION BLOCK 60HZ P N PURIFIER SJ15F MITSUBISHI (P/N: 385078105),FILTER,MITSUBISHI,,385078105,PERLENGKAPAN KAPAL - MESIN
FRICTION BLOCK P/N:314 LUBRICATING OIL PURIFIER KYDR 204,FILTER FRICTION BLOCK P N LUBRIING OIL PURIFIER KYDR 204 CAT (P/N: 314),FILTER,CAT,,314,PERLENGKAPAN KAPAL - MESIN
FRICTION BLOCK P/N:385078105 PURIFIER MITSUBISHI KAKOKI KAISHA SJ-20T,FILTER FRICTION BLOCK P N PURIFIER KAISHA SJ 20T MITSUBISHI KAKOKI (P/N: 385078105),FILTER,MITSUBISHI KAKOKI,,385078105,PERLENGKAPAN KAPAL - MESIN
FRICTION BLOCK P/N:385078105 PURIFIER MITSUBISHI SJ 20T,FILTER FRICTION BLOCK P N PURIFIER SJ 20T MITSUBISHI (P/N: 385078105),FILTER,MITSUBISHI,,385078105,PERLENGKAPAN KAPAL - MESIN
"FRICTION DISC 136 X 71 X22,PURIFIER KYDH 204",FILTER FRICTION DISC 136 X 71 X22 PURIFIER KYDH 204 136 X 71 X22,FILTER,,136 X 71 X22,,PERLENGKAPAN KAPAL - MESIN
FRICTION DISC P/N:409 PURIFIER KYDH 204,FILTER FRICTION DISC P N PURIFIER KYDH 204 (P/N: 409),FILTER,,,409,PERLENGKAPAN KAPAL - MESIN
FRICTION DISK (305) FUEL OIL PURIFIER KYDR 204,FILTER FRICTION DISK 305 FUEL OIL PURIFIER KYDR 204,FILTER,,,,PERLENGKAPAN KAPAL - MESIN
FRICTION DISK 136X71X22 P/N:409 FO PURIFIER KYDH 204,FILTER FRICTION DISK 136X71X22 P N FO PURIFIER KYDH 204 136X71X22 (P/N: 409),FILTER,,136X71X22,409,PERLENGKAPAN KAPAL - MESIN
FRICTION DISK P/N:305 LO PURIFIER KYDH204 JUNENG,FILTER FRICTION DISK P N LO PURIFIER KYDH204 JUNENG (P/N: 305),FILTER,,,305,PERLENGKAPAN KAPAL - MESIN
FRICTION DISK P/N:305 LUBRICATING OIL PURIFIER KYDR 204,FILTER FRICTION DISK P N LUBRIING OIL PURIFIER KYDR 204 CAT (P/N: 305),FILTER,CAT,,305,PERLENGKAPAN KAPAL - MESIN
FRICTION ELEMENT P/N 54406001 ALFA LAVAL P605,FILTER FRICTION ELEMENT P N P605 ALFA LAVAL (P/N: 54406001),FILTER,ALFA LAVAL,,54406001,PERLENGKAPAN KAPAL - MESIN
FRICTION ELEMENT P/N:544060 01 ALFA LAVAL PA605,FILTER FRICTION ELEMENT P N 01 PA605 ALFA LAVAL (P/N: 544060),FILTER,ALFA LAVAL,,544060,PERLENGKAPAN KAPAL - MESIN
FRICTION PAD P/N:420843-81 PURIFIER MOPX 309 TGT-20 ALFA LAVAL,FILTER FRICTION PAD P N PURIFIER MOPX 309 TGT 20 ALFA LAVAL (P/N: 420843-81),FILTER,ALFA LAVAL,,420843-81,PERLENGKAPAN KAPAL - MESIN
FRICTION PAD P/N:519619-83 CPL URIFIER ALFA LAVAL FOPX 605,LAIN-LAIN FRICTION PAD P N CPL URIFIER FOPX 605 ALFA LAVAL (P/N: 519619-83),LAIN-LAIN,ALFA LAVAL,,519619-83,PERLENGKAPAN KAPAL - MESIN
FRICTION PULLEY H5 P/N:248153001 PURIFIER MITSUBISHI SJ 20T,FILTER FRICTION PULLEY H5 P N PURIFIER SJ 20T MITSUBISHI (P/N: 248153001),FILTER,MITSUBISHI,,248153001,PERLENGKAPAN KAPAL - MESIN
FRICTION PULLEY P/N:248153001 PURIFIER MITSUBISHI KAKOKI KAISHA SJ-20T,FILTER FRICTION PULLEY P N PURIFIER KAISHA SJ 20T MITSUBISHI KAKOKI (P/N: 248153001),FILTER,MITSUBISHI KAKOKI,,248153001,PERLENGKAPAN KAPAL - MESIN
FRICTION WHEEL P/N:410 FO PURIFIER KYDH 204,FILTER FRICTION WHEEL P N FO PURIFIER KYDH 204 (P/N: 410),FILTER,,,410,PERLENGKAPAN KAPAL - MESIN
"FRONT AND REAR CRANKSHAFT SEAL WEAR SLEEVE,CAT 3406",SEAL FRONT AND REAR CRANKSHAFT SEAL WEAR SLEEVE 3406 CAT,SEAL,CAT,,,PERLENGKAPAN KAPAL - MESIN
FRONT EXHAUST PIPE P/N Z6150-10-001A AE NANTONG ZICHAI Z6150,PIPE FITTING FRONT EXHAUST PIPE P N AE NANTONG ZICHAI Z6150 (P/N: Z6150-10-001A),PIPE FITTING,,,Z6150-10-001A,PERLENGKAPAN KAPAL - MESIN
FRP MOULDED GRATING 1M X 3M,"LAIN-LAIN FRP MOULDED GRATING 1M X 3M 1M, 3M",LAIN-LAIN,,"1M, 3M",,PERLENGKAPAN KAPAL - MESIN
"FT-68L BATTERY & CHARGER,VHF GMDSS FEITONG FT-2800",ELECTRICAL BATTERY CHARGER VHF DSS FEITONG FT 2800 GM (P/N: FT-68L),ELECTRICAL,GM,,FT-68L,PERLENGKAPAN KAPAL - MESIN
"FTMMX-10 V1.1 ENGINE CONTROL , CUMMINS NTA 855",LAIN-LAIN V1 1 ENGINE CONTROL NTA 855 CUMMINS (P/N: FTMMX-10),LAIN-LAIN,CUMMINS,,FTMMX-10,PERLENGKAPAN KAPAL - MESIN
FU-AMPLIFIER AS 139-158.NG001E01,LAIN-LAIN FU AMPLIFIER AS 139 158 NG001E01,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
FUEL CAM P/N:G-12-101 ME ANTAI WUXI G8300 ZC16BH,LAIN-LAIN FUEL CAM P N ME ANTAI WUXI G8300 ZC16BH 101 M (P/N: G-12-101),LAIN-LAIN,,101 M,G-12-101,PERLENGKAPAN KAPAL - MESIN
FUEL CAM P/N:G302-12-002 ANTAI WUXI G8300 ZC 18 BH,LAIN-LAIN FUEL CAM P N ANTAI WUXI G8300 ZC 18 BH (P/N: G302-12-002),LAIN-LAIN,,,G302-12-002,PERLENGKAPAN KAPAL - MESIN
FUEL CONTROL RACK 137626 - 51500 AE YANMAR S185L,LAIN-LAIN FUEL CONTROL RACK 137626 51500 AE S185L YANMAR,LAIN-LAIN,YANMAR,,,PERLENGKAPAN KAPAL - MESIN
FUEL CONTROL RACK P/N:G-045-017 ME NINGBO G8300ZC 18BH,LAIN-LAIN FUEL CONTROL RACK P N ME NINGBO G8300ZC 18BH 017 M (P/N: G-045-017),LAIN-LAIN,,017 M,G-045-017,PERLENGKAPAN KAPAL - MESIN
FUEL DELIVEVRY PUMP P/N:H74100 SULZER 6AL20D,PUMP FUEL DELIVEVRY PUMP P N 6AL20D SULZER (P/N: H74100),PUMP,SULZER,,H74100,PERLENGKAPAN KAPAL - MESIN
FUEL FEED PUMP MITS 6D22,PUMP FUEL FEED PUMP MITS 6D22,PUMP,,,,PERLENGKAPAN KAPAL - MESIN
FUEL FILTER (FS 1000),FILTER FUEL FILTER FS 1000,FILTER,,,,PERLENGKAPAN KAPAL - MESIN
FUEL FILTER DONALDSON J86-20940,FILTER FUEL FILTER J86 20940 DONALDSON,FILTER,DONALDSON,,,PERLENGKAPAN KAPAL - MESIN
FUEL FILTER EK405 SAKURA,FILTER FUEL FILTER EK405 SAKURA,FILTER,SAKURA,,,PERLENGKAPAN KAPAL - MESIN
FUEL FILTER ELEMENT P/N:SBL25 ME ANTAI WUXI G8300 ZC18BH,FILTER FUEL FILTER ELEMENT P N ME ANTAI WUXI G8300 ZC18BH (P/N: SBL25),FILTER,,,SBL25,PERLENGKAPAN KAPAL - MESIN
"FUEL FILTER ELEMENT, 363 MESH P/N:SBL25 ME NINGBO G8300 ZC18BH",FILTER FUEL FILTER ELEMENT 363 MESH P N ME NINGBO G8300 ZC18BH 363 M (P/N: SBL25),FILTER,,363 M,SBL25,PERLENGKAPAN KAPAL - MESIN
FUEL FILTER FC-1502 SAKURA / P55-0057 DONALDSON,FILTER FUEL FILTER FC 1502 SAKURA P55 0057 DONALDSON,FILTER,DONALDSON,,,PERLENGKAPAN KAPAL - MESIN
FUEL FILTER HOUSING (COMPLETE) P/N:SBL-40,FILTER FUEL FILTER HOUSING COMPLETE P N (P/N: SBL-40),FILTER,,,SBL-40,PERLENGKAPAN KAPAL - MESIN
FUEL FILTER P55-1712 DONALDSON,FILTER FUEL FILTER P55 1712 DONALDSON,FILTER,DONALDSON,,,PERLENGKAPAN KAPAL - MESIN
FUEL FILTER SAKURA FC-1005,FILTER FUEL FILTER FC 1005 SAKURA,FILTER,SAKURA,,,PERLENGKAPAN KAPAL - MESIN
FUEL FILTER SAKURA FC-38020,FILTER FUEL FILTER FC 38020 SAKURA,FILTER,SAKURA,,,PERLENGKAPAN KAPAL - MESIN
FUEL FILTER STAINLESS WIRE MESH 10 MICRON OD 92 X T. 137,FILTER FUEL FILTER STAINLESS WIRE MESH 10 MICRON OD 92 X T 137 10 M,FILTER,,10 M,,PERLENGKAPAN KAPAL - MESIN
FUEL HIGH PRESSURE PIPE COMPLETE P/N:H87080 SULZER 6AL20D,PIPE FITTING FUEL HIGH PRESSURE PIPE COMPLETE P N 6AL20D SULZER (P/N: H87080),PIPE FITTING,SULZER,,H87080,PERLENGKAPAN KAPAL - MESIN
FUEL INJECTION ASSY P/N:Z6150-19-000 NANGTONG Z-6150 ZLD-5,LAIN-LAIN FUEL INJECTION ASSY P N NANGTONG Z 6150 ZLD 5 (P/N: Z6150-19-000),LAIN-LAIN,,,Z6150-19-000,PERLENGKAPAN KAPAL - MESIN
FUEL INJECTION P/N.2W3776 CAT 3406B,CHEMICAL FUEL INJECTION P N 3406B CAT (P/N: 2W3776),CHEMICAL,CAT,,2W3776,PERLENGKAPAN KAPAL - MESIN
FUEL INJECTION P/N.2W3777 CAT 3406B,CHEMICAL FUEL INJECTION P N 3406B CAT (P/N: 2W3777),CHEMICAL,CAT,,2W3777,PERLENGKAPAN KAPAL - MESIN
FUEL INJECTION PIPE 126634-59100 AE YANMAR 6 HAL DTN,PIPE FITTING FUEL INJECTION PIPE 126634 59100 AE 6 HAL DTN YANMAR,PIPE FITTING,YANMAR,,,PERLENGKAPAN KAPAL - MESIN
FUEL INJECTION PIPE ASSY #1 P/N:G26-001-03 AE DONGFENG G128Z CAF1,PIPE FITTING FUEL INJECTION PIPE ASSY 1 P N AE G128Z CAF1 DONGFENG (P/N: G26-001-03),PIPE FITTING,DONGFENG,,G26-001-03,PERLENGKAPAN KAPAL - MESIN
FUEL INJECTION PIPE ASSY #2 P/N:G26-002-03 AE DONGFENG G128Z CAF1,PIPE FITTING FUEL INJECTION PIPE ASSY 2 P N AE G128Z CAF1 DONGFENG (P/N: G26-002-03),PIPE FITTING,DONGFENG,,G26-002-03,PERLENGKAPAN KAPAL - MESIN
FUEL INJECTION PIPE ASSY #3 P/N:G26-003-03 AE DONGFENG G128Z CAF1,PIPE FITTING FUEL INJECTION PIPE ASSY 3 P N AE G128Z CAF1 DONGFENG (P/N: G26-003-03),PIPE FITTING,DONGFENG,,G26-003-03,PERLENGKAPAN KAPAL - MESIN
FUEL INJECTION PIPE ASSY #5 P/N:G26-005-03 AE DONGFENG G128Z CAF1,PIPE FITTING FUEL INJECTION PIPE ASSY 5 P N AE G128Z CAF1 DONGFENG (P/N: G26-005-03),PIPE FITTING,DONGFENG,,G26-005-03,PERLENGKAPAN KAPAL - MESIN
FUEL INJECTION PUMP (REP),PUMP FUEL INJECTION PUMP REP,PUMP,,,,PERLENGKAPAN KAPAL - MESIN
FUEL INJECTION PUMP & SHAFT COUPLING ASSEMBLY (P/N. Z6150.18-000) NANTONG ZICHAI Z-6150,PUMP FUEL INJECTION PUMP SHAFT COUPLING ASSEMBLY P N NANTONG ZICHAI Z 6150 (P/N: Z6150.18-000),PUMP,,,Z6150.18-000,PERLENGKAPAN KAPAL - MESIN
FUEL INJECTION PUMP 8DC9,PUMP FUEL INJECTION PUMP 8DC9,PUMP,,,,PERLENGKAPAN KAPAL - MESIN
FUEL INJECTION PUMP ANTAI WUXI G8300ZC,PUMP FUEL INJECTION PUMP ANTAI WUXI G8300ZC,PUMP,,,,PERLENGKAPAN KAPAL - MESIN
FUEL INJECTION PUMP ASSEMBLY G-45D ME NINGBO GA8300 ZC18BH,PUMP FUEL INJECTION PUMP ASSEMBLY G 45D ME NINGBO GA8300 ZC18BH,PUMP,,,,PERLENGKAPAN KAPAL - MESIN
FUEL INJECTION PUMP ASSY CAT 3406 SECOND,PUMP FUEL INJECTION PUMP ASSY 3406 SECOND CAT,PUMP,CAT,,,PERLENGKAPAN KAPAL - MESIN
FUEL INJECTION PUMP ASSY P/N:G-45B NINGBO G8300ZC 18BH,PUMP FUEL INJECTION PUMP ASSY P N NINGBO G8300ZC 18BH (P/N: G-45B),PUMP,,,G-45B,PERLENGKAPAN KAPAL - MESIN
